batsman,bowler,runs,balls,dismissals
IR Jaggi,AC Thomas,5,3,0
Mohammed Siraj,JD Unadkat,6,4,1
KW Richardson,CH Morris,3,3,1
K Upadhyay,R Vinay Kumar,7,4,0
KK Nair,MJ McClenaghan,27,17,2
F du Plessis,M Morkel,1,6,1
DJ Hooda,K Rabada,1,2,0
KS Williamson,R Ashwin,34,24,0
GR Napier,M Kartik,2,5,0
Mandeep Singh,RE van der Merwe,1,2,0
MJ McClenaghan,DT Christian,2,3,0
A Singh,KA Pollard,0,3,1
MA Agarwal,IC Pandey,1,3,1
KA Pollard,Sandeep Sharma,28,14,1
Ishan Kishan,P Krishna,5,2,0
Yuvraj Singh,M Ashwin,3,9,1
AJ Finch,IK Pathan,34,18,1
SR Watson,Shakib Al Hasan,96,61,1
DJ Hussey,A Chandila,8,4,0
SR Watson,R Sathish,1,2,0
AD Russell,R Bhatia,2,3,0
M Rawat,P Kumar,0,2,1
AG Paunikar,DW Steyn,8,9,1
DJ Hooda,A Choudhary,10,4,0
RV Uthappa,Bipul Sharma,26,22,1
A Mishra,SP Narine,1,1,0
SV Samson,J Suchith,16,8,0
C Munro,DL Chahar,6,6,0
DJ Hussey,B Kumar,4,6,1
AT Rayudu,Shakib Al Hasan,82,56,3
BJ Hodge,JDP Oram,1,1,0
KK Nair,WD Parnell,13,8,0
SR Tendulkar,VY Mahesh,1,2,1
AJ Finch,AF Milne,9,7,0
SV Samson,S Curran,6,5,1
DPMD Jayawardene,AP Dole,17,8,1
AD Russell,MC Henriques,0,1,0
HH Pandya,H Viljoen,23,14,0
SS Iyer,MA Starc,8,7,1
Y Nagar,RV Gomez,6,6,0
AM Rahane,Harbhajan Singh,27,30,1
MA Agarwal,CH Morris,20,17,1
BB Samantray,Sandeep Sharma,0,1,1
DJ Thornely,P Kumar,0,2,0
DR Smith,Sandeep Sharma,30,25,2
DS Kulkarni,Rashid Khan,1,1,0
SV Samson,TA Boult,14,12,1
TL Suman,DW Steyn,21,18,2
JH Kallis,S Randiv,9,13,0
Ishan Kishan,M Ur Rahman,7,5,1
DA Warner,O Thomas,7,7,1
AS Yadav,GJ Maxwell,6,6,0
MS Dhoni,PV Tambe,11,14,1
MK Tiwary,M Morkel,20,19,4
SP Fleming,DP Vijaykumar,17,15,1
NLTC Perera,MM Sharma,9,8,1
YS Chahal,J Archer,0,4,0
EJG Morgan,KA Pollard,3,2,0
DT Christian,CH Morris,2,2,1
SW Billings,M Ashwin,5,5,0
MA Agarwal,MM Patel,27,11,0
YK Pathan,Shoaib Ahmed,13,4,0
SR Tendulkar,A Singh,5,5,1
MV Boucher,DS Kulkarni,8,6,0
SR Tendulkar,JP Duminy,1,3,0
S Badrinath,TP Sudhindra,13,7,0
SB Styris,MM Patel,2,2,0
JP Duminy,MM Patel,10,5,0
MC Henriques,YS Chahal,36,23,1
JD Ryder,Shakib Al Hasan,8,7,0
STR Binny,AD Mathews,2,2,0
SV Samson,AS Rajpoot,4,4,0
MM Patel,BA Bhatt,0,1,1
AS Yadav,Mohammed Shami,15,7,0
WP Saha,NM Coulter-Nile,7,5,1
R Sathish,B Lee,4,2,0
AB Agarkar,PJ Sangwan,17,8,1
SC Ganguly,STR Binny,3,3,0
RV Uthappa,Mandeep Singh,5,3,0
S Dhawan,Imran Tahir,11,8,1
SR Tendulkar,PP Ojha,27,26,1
V Kohli,L Balaji,23,25,3
RA Jadeja,CR Brathwaite,5,2,0
BB McCullum,WPUJC Vaas,5,3,0
BJ Hodge,FH Edwards,1,4,0
