,batsman
0,Bipul Sharma
1,SP Goswami
2,SP Narine
3,D Short
4,JP Duminy
5,N Rana
6,R Tewatia
7,AR Patel
8,S Dhawan
9,B Stanlake
10,DA Miller
11,Washington Sundar
12,A Dananjaya
13,SE Marsh
14,RR Pant
15,Sachin Baby
16,CJ Anderson
17,BA Stokes
18,Shakib Al Hasan
19,C Ingram
20,Mustafizur Rahman
21,S Rutherford
22,S Dube
23,EJG Morgan
24,Q de Kock
25,P Raj
26,S Hetmyer
27,C Munro
28,PA Patel
29,MG Johnson
30,K Rabada
31,M Lomror
32,PP Chawla
33,IK Pathan
34,R Singh
35,S Aravind
36,Kuldeep Yadav
37,Ishan Kishan
38,S Curran
39,KV Sharma
40,MJ McClenaghan
41,J Suchith
42,Yuvraj Singh
43,N Pooran
44,BB Sran
45,SK Raina
46,RA Jadeja
47,E Lewis
48,CH Gayle
49,M Ali
50,DA Warner
51,KH Pandya
52,G Gambhir
53,Ankit Sharma
54,H Brar
55,P Negi
56,M Santner
57,Iqbal Abdulla
58,SS Tiwary
59,DM Bravo
60,TM Head
