P Raj
J Searles
MM Sharma
K Rabada
S Kaul
DJ Bravo
S Sharma
VR Aaron
A Joseph
Mohammed Siraj
S Warrier
C de Grandhomme
V Shankar
MJ McClenaghan
JJ Bumrah
H Gurney
D Willey
HH Pandya
CH Morris
P Krishna
J Archer
J Dala
H Viljoen
R Salam
Mustafizur Rahman
B Kumar
BA Stokes
BCJ Cutting
L Ngidi
MG Johnson
HV Patel
KM Asif
S Mavi
TG Southee
JD Unadkat
AD Russell
DW Steyn
UT Yadav
CJ Anderson
Mohammed Shami
CJ Jordan
AJ Tye
K Paul
AS Rajpoot
J Behrendorff
SL Malinga
PJ Sangwan
Anureet Singh
B Laughlin
Avesh Khan
Mandeep Singh
O Thomas
K Khejroliya
S Dube
A Singh
I Sharma
BB Sran
SN Thakur
DL Chahar
N Saini
MP Stoinis
SR Watson
Basil Thampi
TA Boult
L Ferguson
Sandeep Sharma
S Curran
S Kuggeleijn
K Ahmed
DT Christian
B Stanlake
CR Brathwaite
DS Kulkarni
T Curran
STR Binny
S Rutherford
M Wood
CR Woakes
L Plunkett
R Vinay Kumar
