,batsman
0,AB Dinda
1,HH Pandya
2,AF Milne
3,K Ahmed
4,KK Nair
5,SR Watson
6,AP Tare
7,Imran Tahir
8,S Gopal
9,TS Mills
10,YS Chahal
11,Mohammad Nabi
12,AM Rahane
13,A Turner
14,A Zampa
15,V Kohli
16,Swapnil Singh
17,A Joseph
18,MM Sharma
19,R Salam
20,CH Morris
21,UT Yadav
22,KL Rahul
23,MK Tiwary
24,STR Binny
25,RG Sharma
26,TA Boult
27,P Krishna
28,S Kaul
29,M Markande
30,M Vohra
31,MN Samuels
32,MS Dhoni
33,P Chopra
34,SPD Smith
35,JC Buttler
36,H Gurney
37,AJ Tye
38,R Parag
39,DS Kulkarni
40,AS Yadav
41,Harbhajan Singh
42,PJ Sangwan
43,SN Thakur
44,JJ Roy
45,M Vijay
46,R Bhui
47,MM Patel
48,F du Plessis
49,Anureet Singh
50,AB de Villiers
51,AT Rayudu
52,GJ Maxwell
53,YK Pathan
54,PJ Cummins
55,I Sodhi
56,BB McCullum
57,P Kumar
58,S Lamichhane
59,N Naik
60,CA Lynn
61,M Wood
62,V Shankar
63,Mohammed Siraj
64,M Ashwin
65,H Vihari
66,P R Barman
67,I Sharma
68,KC Cariappa
69,T Curran
70,L Plunkett
71,KD Karthik
72,NV Ojha
73,AD Russell
74,D Shorey
75,S Singh
76,Z Khan
77,J Denly
78,JD Unadkat
79,LMP Simmons
80,SL Malinga
81,CJ Jordan
82,MC Henriques
83,SW Billings
84,KA Pollard
85,JP Faulkner
86,KS Williamson
87,CR Woakes
88,Vishnu Vinod
89,RD Chahar
90,BCJ Cutting
91,S Mavi
92,MA Agarwal
93,AD Mathews
94,Sandeep Sharma
95,J Searles
96,A Mishra
97,DR Smith
98,H Viljoen
99,Basil Thampi
100,JJ Bumrah
101,CR Brathwaite
102,SP Jackson
103,VR Aaron
104,DL Chahar
105,S Badree
106,J Bairstow
107,C de Grandhomme
108,H Klaasen
109,A Choudhary
110,N Saini
111,HM Amla
112,RA Tripathi
113,S Nadeem
114,M Ur Rahman
115,SA Yadav
116,A Hales
117,RV Uthappa
118,MP Stoinis
119,Mandeep Singh
120,AJ Finch
121,SV Samson
122,MK Pandey
123,Rashid Khan
124,Gurkeerat Singh
125,IR Jaggi
126,SS Iyer
127,Avesh Khan
128,SN Khan
129,J Archer
130,NM Coulter-Nile
131,K Gowtham
132,LH Ferguson
133,Ankit Soni
134,S Gill
135,Mohammed Shami
136,HV Patel
137,DT Christian
138,DJ Hooda
139,B Kumar
140,R Ashwin
141,AS Rajpoot
142,AD Nath
143,R Vinay Kumar
144,K Paul
145,SD Lad
146,KM Jadhav
147,R Bhatia
148,TG Southee
149,AR Bawne
150,S Sharma
151,WP Saha
152,L Livingstone
153,MJ Guptill
154,P Shaw
155,B Laughlin
156,DJ Bravo
