SN Khan
L Livingstone
Washington Sundar
I Sodhi
J Suchith
YS Chahal
V Chakravarthy
Imran Tahir
N Rana
GJ Maxwell
P R Barman
AR Patel
S Nadeem
Shakib Al Hasan
MK Tiwary
Yuvraj Singh
DJ Hooda
S Gopal
Harbhajan Singh
D Short
R Parag
SK Raina
H Vihari
M Ali
KC Cariappa
M Lomror
A Dananjaya
RA Jadeja
M Santner
J Yadav
YK Pathan
JP Duminy
Ankit Sharma
A Roy
Rashid Khan
M Ashwin
PP Chawla
SP Narine
Kuldeep Yadav
S Midhun
KV Sharma
P Negi
R Ashwin
H Brar
M Markande
K Gowtham
A Mishra
S Lamichhane
KH Pandya
R Tewatia
Mohammad Nabi
RD Chahar
M Ur Rahman
