0,SN Khan
1,L Livingstone
2,Washington Sundar
3,I Sodhi
4,J Suchith
5,YS Chahal
6,V Chakravarthy
7,Imran Tahir
8,N Rana
9,GJ Maxwell
10,P R Barman
11,AR Patel
12,S Nadeem
13,Shakib Al Hasan
14,MK Tiwary
15,Yuvraj Singh
16,DJ Hooda
17,S Gopal
18,Harbhajan Singh
19,D Short
20,R Parag
21,SK Raina
22,H Vihari
23,M Ali
24,KC Cariappa
25,M Lomror
26,A Dananjaya
27,RA Jadeja
28,M Santner
29,J Yadav
30,YK Pathan
31,JP Duminy
32,Ankit Sharma
33,A Roy
34,Rashid Khan
35,M Ashwin
36,PP Chawla
37,SP Narine
38,Kuldeep Yadav
39,S Midhun
40,KV Sharma
41,P Negi
42,R Ashwin
43,H Brar
44,M Markande
45,K Gowtham
46,A Mishra
47,S Lamichhane
48,KH Pandya
49,R Tewatia
50,Mohammad Nabi
51,RD Chahar
52,M Ur Rahman
