,0
SN Khan,ls
L Livingstone,ls
Washington Sundar,os
I Sodhi,ls
J Suchith,slo
YS Chahal,ls
V Chakravarthy,ls
Imran Tahir,ls
N Rana,os
GJ Maxwell,os
P R Barman,ls
AR Patel,slo
S Nadeem,slo
Shakib Al Hasan,slo
MK Tiwary,ls
Yuvraj Singh,slo
DJ Hooda,os
S Gopal,ls
Harbhajan Singh,os
D Short,slu
R Parag,ls
SK Raina,os
H Vihari,os
M Ali,os
KC Cariappa,ls
M Lomror,slo
A Dananjaya,os
RA Jadeja,slo
M Santner,slo
J Yadav,os
YK Pathan,os
JP Duminy,os
Ankit Sharma,slo
A Roy,slo
Rashid Khan,ls
M Ashwin,ls
PP Chawla,ls
SP Narine,os
Kuldeep Yadav,slu
S Midhun,ls
KV Sharma,ls
P Negi,slo
R Ashwin,os
H Brar,slo
M Markande,ls
K Gowtham,os
A Mishra,ls
S Lamichhane,ls
KH Pandya,slo
R Tewatia,ls
Mohammad Nabi,os
RD Chahar,ls
M Ur Rahman,os
SS Agarwal,ls
Bipul Sharma,slo
MN Samuels,os
Ankit Soni,ls
Tejas Baroka,ls
S Kaushik,slu
Iqbal Abdulla,slo
Swapnil Singh,slo
TM Head,os
A Zampa,ls
S Badree,ls
SB Jakati,slo
